Property,Range,numAllStatements,numRVEStatements
http://dbpedia.org/ontology/thirdDriverCountry,http://dbpedia.org/ontology/Country,99.0,6.0
http://dbpedia.org/ontology/filmVersion,http://dbpedia.org/ontology/Film,0.0,0.0
http://dbpedia.org/ontology/administrativeCollectivity,http://dbpedia.org/ontology/PopulatedPlace,251.0,88.0
http://dbpedia.org/ontology/fundedBy,http://dbpedia.org/ontology/Organisation,0.0,0.0
http://dbpedia.org/ontology/mouthDistrict,http://dbpedia.org/ontology/PopulatedPlace,0.0,0.0
http://dbpedia.org/ontology/provost,http://dbpedia.org/ontology/Person,74.0,34.0
http://dbpedia.org/ontology/father,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/grandsire,http://dbpedia.org/ontology/Animal,3280.0,506.0
http://dbpedia.org/ontology/magazine,http://dbpedia.org/ontology/Magazine,3541.0,884.0
http://dbpedia.org/ontology/followingEvent,http://dbpedia.org/ontology/Event,5278.0,714.0
http://dbpedia.org/ontology/aircraftTrainer,http://dbpedia.org/ontology/MeanOfTransportation,716.0,269.0
http://dbpedia.org/ontology/stateOfOriginTeam,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/MusicalArtist,131338.0,87880.0
http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/Person,3528.0,500.0
http://dbpedia.org/ontology/ideology,http://dbpedia.org/ontology/Ideology,15038.0,15038.0
http://dbpedia.org/ontology/originalStartPoint,http://dbpedia.org/ontology/Place,6.0,1.0
http://dbpedia.org/ontology/alongside,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/creatorOfDish,http://dbpedia.org/ontology/Person,331.0,279.0
http://dbpedia.org/ontology/crewMember,http://dbpedia.org/ontology/Astronaut,0.0,0.0
http://dbpedia.org/ontology/nationalTeam,http://dbpedia.org/ontology/SportsTeam,4682.0,2762.0
http://dbpedia.org/ontology/homeArena,http://dbpedia.org/ontology/Arena,1072.0,1072.0
http://dbpedia.org/ontology/countryWithFirstSatelliteLaunched,http://dbpedia.org/ontology/Country,11.0,2.0
http://dbpedia.org/ontology/lastWin,http://dbpedia.org/ontology/GrandPrix,91.0,8.0
http://dbpedia.org/ontology/lastRace,http://dbpedia.org/ontology/GrandPrix,766.0,76.0
http://dbpedia.org/ontology/dam,http://dbpedia.org/ontology/Animal,469.0,264.0
http://dbpedia.org/ontology/coachClub,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/event,http://dbpedia.org/ontology/Event,861.0,782.0
http://dbpedia.org/ontology/soccerTournamentClosingSeason,http://dbpedia.org/ontology/SoccerTournament,0.0,0.0
http://dbpedia.org/ontology/intercommunality,http://dbpedia.org/ontology/PopulatedPlace,7847.0,7694.0
http://dbpedia.org/ontology/highestMountain,http://dbpedia.org/ontology/Mountain,79.0,66.0
http://dbpedia.org/ontology/biggestCity,http://dbpedia.org/ontology/PopulatedPlace,0.0,0.0
http://dbpedia.org/ontology/channel,http://dbpedia.org/ontology/Broadcaster,15282.0,3756.0
http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/ontology/PopulatedPlace,23827.0,5858.0
http://dbpedia.org/ontology/broadcastNetwork,http://dbpedia.org/ontology/BroadcastNetwork,12188.0,7629.0
http://dbpedia.org/ontology/chairperson,http://dbpedia.org/ontology/Person,286.0,145.0
http://dbpedia.org/ontology/unesco,http://dbpedia.org/ontology/PopulatedPlace,0.0,0.0
http://dbpedia.org/ontology/firstDriver,http://dbpedia.org/ontology/Person,10461.0,2486.0
http://dbpedia.org/ontology/provinceLink,http://dbpedia.org/ontology/Province,0.0,0.0
http://dbpedia.org/ontology/releaseLocation,http://dbpedia.org/ontology/Place,17.0,4.0
http://dbpedia.org/ontology/mother,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/musicians,http://dbpedia.org/ontology/MusicalArtist,0.0,0.0
http://dbpedia.org/ontology/lastLaunchRocket,http://dbpedia.org/ontology/Rocket,2.0,2.0
http://dbpedia.org/ontology/aircraftHelicopterAttack,http://dbpedia.org/ontology/MeanOfTransportation,48.0,21.0
http://dbpedia.org/ontology/locationCity,http://dbpedia.org/ontology/City,27222.0,15211.0
http://dbpedia.org/ontology/secondCommander,http://dbpedia.org/ontology/Person,519.0,340.0
http://dbpedia.org/ontology/nextEntity,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/entourage,http://dbpedia.org/ontology/Species,0.0,0.0
http://dbpedia.org/ontology/demographics,http://dbpedia.org/ontology/Demographics,0.0,0.0
http://dbpedia.org/ontology/hasAbsorbedMunicipality,http://dbpedia.org/ontology/FormerMunicipality,0.0,0.0
http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/ontology/Person,25944.0,8497.0
http://dbpedia.org/ontology/innervates,http://dbpedia.org/ontology/AnatomicalStructure,190.0,64.0
http://dbpedia.org/ontology/actingHeadteacher,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/mouthCountry,http://dbpedia.org/ontology/Country,684.0,80.0
http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/PopulatedPlace,10388.0,5362.0
http://dbpedia.org/ontology/geneLocation,http://dbpedia.org/ontology/GeneLocation,4.0,0.0
http://dbpedia.org/ontology/termPeriod,http://dbpedia.org/ontology/TimePeriod,148574.0,0.0
http://dbpedia.org/ontology/comic,http://dbpedia.org/ontology/Comic,0.0,0.0
http://dbpedia.org/ontology/inCemetery,http://dbpedia.org/ontology/Cemetery,0.0,0.0
http://dbpedia.org/ontology/rocket,http://dbpedia.org/ontology/Rocket,0.0,0.0
http://dbpedia.org/ontology/nominee,http://dbpedia.org/ontology/Person,31.0,31.0
http://dbpedia.org/ontology/generalCouncil,http://dbpedia.org/ontology/TermOfOffice,0.0,0.0
http://dbpedia.org/ontology/parish,http://dbpedia.org/ontology/PopulatedPlace,25.0,22.0
http://dbpedia.org/ontology/mergedIntoParty,http://dbpedia.org/ontology/PoliticalParty,800.0,104.0
http://dbpedia.org/ontology/silverMedalist,http://dbpedia.org/ontology/Person,6164.0,563.0
http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/PersonFunction,335407.0,187038.0
http://dbpedia.org/ontology/border,http://dbpedia.org/ontology/PopulatedPlace,486.0,454.0
http://dbpedia.org/ontology/coachedTeam,http://dbpedia.org/ontology/SportsTeam,200.0,145.0
http://dbpedia.org/ontology/iftaAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/patron,http://dbpedia.org/ontology/Person,244.0,112.0
http://dbpedia.org/ontology/sourcePlace,http://dbpedia.org/ontology/PopulatedPlace,6147.0,4263.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/Place,69284.0,11713.0
http://dbpedia.org/ontology/lowestPlace,http://dbpedia.org/ontology/PopulatedPlace,166.0,142.0
http://dbpedia.org/ontology/polishFilmAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/britishComedyAwards,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/firstLeader,http://dbpedia.org/ontology/Person,3299.0,292.0
http://dbpedia.org/ontology/targetSpaceStation,http://dbpedia.org/ontology/SpaceStation,0.0,0.0
http://dbpedia.org/ontology/lchfDraftTeam,http://dbpedia.org/ontology/HockeyTeam,0.0,0.0
http://dbpedia.org/ontology/associationOfLocalGovernment,http://dbpedia.org/ontology/PopulatedPlace,568.0,156.0
http://dbpedia.org/ontology/placeOfWorship,http://dbpedia.org/ontology/Church,0.0,0.0
http://dbpedia.org/ontology/monarch,http://dbpedia.org/ontology/Person,6433.0,1222.0
http://dbpedia.org/ontology/tvShow,http://dbpedia.org/ontology/TelevisionShow,0.0,0.0
http://dbpedia.org/ontology/taxon,http://dbpedia.org/ontology/Taxon,0.0,0.0
http://dbpedia.org/ontology/southEastPlace,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/gaudiAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/metropolitanBorough,http://dbpedia.org/ontology/PopulatedPlace,1463.0,63.0
http://dbpedia.org/ontology/newspaper,http://dbpedia.org/ontology/PeriodicalLiterature,0.0,0.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/ontology/Place,24384.0,7374.0
http://dbpedia.org/ontology/championInDoubleMale,http://dbpedia.org/ontology/Athlete,2038.0,95.0
http://dbpedia.org/ontology/thirdCommander,http://dbpedia.org/ontology/Person,173.0,120.0
http://dbpedia.org/ontology/northPlace,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/countryWithFirstSatellite,http://dbpedia.org/ontology/Country,48.0,1.0
http://dbpedia.org/ontology/agglomerationArea,http://dbpedia.org/ontology/Area,0.0,0.0
http://dbpedia.org/ontology/shuttle,http://dbpedia.org/ontology/SpaceShuttle,0.0,0.0
http://dbpedia.org/ontology/artPatron,http://dbpedia.org/ontology/Artist,0.0,0.0
http://dbpedia.org/ontology/cemetery,http://dbpedia.org/ontology/Cemetery,0.0,0.0
http://dbpedia.org/ontology/shape,http://dbpedia.org/ontology/Community,0.0,0.0
http://dbpedia.org/ontology/organisationMember,http://dbpedia.org/ontology/OrganisationMember,0.0,0.0
http://dbpedia.org/ontology/prospectTeam,http://dbpedia.org/ontology/HockeyTeam,520.0,26.0
http://dbpedia.org/ontology/spokesperson,http://dbpedia.org/ontology/Person,122.0,50.0
